move,logmove,Otter,Site,Sex,Ageclass,AgeSex
1.4288668,0.356881683,6,1,0,0,3
8.37212455,2.124907681,6,1,0,0,3
0.0106878,-4.538652375,6,1,0,0,3
9.4303895,2.2439374,6,1,0,0,3
0.97512745,-0.025187099,6,1,0,0,3
1.01897255,0.018794816,6,1,0,0,3
3.5128924,1.256439744,6,1,0,0,3
1.566525,0.44885979,6,1,0,0,3
2.5928129,0.952743348,6,1,0,0,3
9.9716412,2.299745184,6,1,0,0,3
0.58246225,-0.540490903,6,1,0,0,3
9.08299325,2.206403791,6,1,0,0,3
0.6481335,-0.433658585,6,1,0,0,3
0.97170925,-0.028698645,6,1,0,0,3
4.9175063,1.592801552,6,1,0,0,3
1.55847275,0.443706335,6,1,0,0,3
8.33676165,2.12067485,6,1,0,0,3
0.001122,-6.792642472,6,1,0,0,3
